"","OBJECTID","ARRDT","BOIS","TYPE_VOIE","NOM_VOIE","STATUT","TYPOLOGIE","SENS_VELO","TYPOLOGIE_SIMPLE","SHAPE.LEN","geo_shape","geo_point_2d"
"26",1786,6,"NON","QUAI","MALAQUAIS","VOIE 50","CONTINUITE MIXTE","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.335276964999968, 48.857947873783246], [2.335323786639181, 48.857932445453955], [2.335371959352412, 48.85792197220501], [2.335420960277902, 48.85791656771202]]}","48.8579288795, 2.33534823621"
"32",615,8,"NON","BOULEVARD","MALESHERBES","VOIE 50","BANDE CYCLABLE DECALEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.320887857675372, 48.87319898439693], [2.320735710800436, 48.87341418063171]]}","48.8733065825, 2.32081178424"
"33",622,8,"NON","BOULEVARD","MALESHERBES","VOIE 50","BANDE CYCLABLE DECALEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.322123593906685, 48.8718578892184], [2.321935775007292, 48.87212581137305]]}","48.8719918503, 2.32202968446"
"34",624,8,"NON","BOULEVARD","MALESHERBES","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.320938843123951, 48.87354358338533], [2.32106183363093, 48.87337890511277]]}","48.8734612442, 2.32100033838"
"35",627,8,"NON","BOULEVARD","MALESHERBES","VOIE 50","BANDE CYCLABLE DECALEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.320160069504835, 48.87425920235447], [2.32041537832935, 48.87390670017478]]}","48.8740829513, 2.32028772392"
"36",634,8,"NON","PLACE","SAINT AUGUSTIN","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.319535806022886, 48.8752626390146], [2.320138981007775, 48.87476936800327], [2.320326822634276, 48.87447311524664]]}","48.8748934551, 2.31996017363"
"37",636,8,"NON","RUE LA","BOETIE","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.319180138304619, 48.87452135144654], [2.318727680529726, 48.874445964290985]]}","48.8744836579, 2.31895390942"
"38",640,8,"NON","RUE LA","BOETIE","VOIE 50","COULOIR BUS MARQUE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.314302408555858, 48.873684000642314], [2.313624341376771, 48.87356661183132], [2.312487166486155, 48.8733709146448], [2.312251998843477, 48.873330658692744], [2.3115803325339668, 48.8731390541903]]}","48.8734386106, 2.31293517941"
"39",643,8,"NON","AVENUE","FRANKLIN DELANO ROOSEVELT","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.31000243601557, 48.871266380271365], [2.310007334815205, 48.87065149347442]]}","48.8709589369, 2.31000488542"
"40",645,8,"NON","ROND POINT DES","CHAMPS ELYSEES MARCEL DASSAULT","VOIE 50","COULOIR BUS PROTEGE","SENS CIRCULATION GENERALE","COULOIR BUS OUVERT AUX VELOS",0,"{""type"": ""LineString"", ""coordinates"": [[2.310040025412214, 48.869572331738794], [2.310053734510663, 48.86927259108255]]}","48.8694224614, 2.31004687996"
"103",572,8,"NON","PLACE DE LA","CONCORDE","VOIE 50","PISTE SYCLABLE BIDIRECTIONNELLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","PISTE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.323284964858705, 48.86622894482266], [2.323255301761451, 48.86621002962347], [2.323228664909338, 48.86618704784353]]}","48.866209013, 2.32325605832"
"104",580,8,"NON","PLACE DE LA","MADELEINE","VOIE 50","BANDE CYCLABLE DECALEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.325232258690595, 48.869908422411825], [2.325468289696473, 48.87022967948259]]}","48.8700690509, 2.32535027419"
"105",585,8,"NON","PLACE DE LA","MADELEINE","VOIE 50","BANDE CYCLABLE SUR CHAUSSEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.325279149019447, 48.87079680060333], [2.324524350305268, 48.87103142994825]]}","48.8709141153, 2.32490174966"
"106",586,8,"NON","PLACE DE LA","MADELEINE","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.324524350305269, 48.87103142994818], [2.324494804789484, 48.87103918037811], [2.32446438830656, 48.871041981134006], [2.324433924275232, 48.87103975639531], [2.324404237401438, 48.871032566388955]]}","48.871038229, 2.32446435281"
"107",590,8,"NON","PLACE DE LA","MADELEINE","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.323922607355609, 48.87049220105239], [2.323621744632602, 48.870081067711126], [2.323533479907325, 48.86995955312579]]}","48.8702259979, 2.32372787787"
"108",592,8,"NON","PLACE DE LA","MADELEINE","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.323463250181657, 48.8698611823878], [2.323438660648787, 48.86982855835623], [2.32342009171006, 48.86979216924966], [2.323408104374087, 48.86975311446329], [2.323403060804737, 48.86971257392839], [2.323405113379367, 48.86967177246395], [2.32341420008517, 48.869631942772266], [2.323430046392713, 48.86959428819619]]}","48.8697311238, 2.32341941133"
"109",593,8,"NON","PLACE DE LA","MADELEINE","VOIE 50","CONTINUITE VELO","SENS CIRCULATION GENERALE","CONTINUITE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.323348841316359, 48.869705712845374], [2.323430046392713, 48.86959428819619]]}","48.8696500005, 2.32338944385"
"110",596,8,"NON","RUE","ROYALE","VOIE 50","BANDE CYCLABLE DECALEE","SENS CIRCULATION GENERALE","BANDE CYCLABLE",0,"{""type"": ""LineString"", ""coordinates"": [[2.323503562495332, 48.86847509854592], [2.323791565905451, 48.86886358344454], [2.323949163219694, 48.869081830575695]]}","48.8687778246, 2.32372723753"
