OBJECTID;ARRDT;BOIS;TYPE_VOIE;NOM_VOIE;STATUT;TYPOLOGIE;SENS_VELO;TYPOLOGIE_SIMPLE;SHAPE.LEN;geo_shape;geo_point_2d
1653;16;NON;AVENUE DU;GENERAL SARRAIL;VOIE 50;COULOIR BUS PROTEGE;SENS CIRCULATION GENERALE;COULOIR BUS OUVERT AUX VELOS;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.25599320059211, 48.8455370657997], [2.256125273631151, 48.84582294157549], [2.256252682998709, 48.84611092612349], [2.2562891383628, 48.84621493284167], [2.256321918556398, 48.84632015569995], [2.256350983136223, 48.84642646487734], [2.25636585263418, 48.84647187615847], [2.256397252998211, 48.846572875384695], [2.256434267843177, 48.846671954786245], [2.256476780672839, 48.84676880253208], [2.25652465768724, 48.84686311381482], [2.256577748203805, 48.84695459181005], [2.256635885131589, 48.84704294861051], [2.256698885497154, 48.847127906132236], [2.256766551020443, 48.847209196989766], [2.256876225840013, 48.847317626273295], [2.256990565908956, 48.847421124216304], [2.2571093497015, 48.847519490298886], [2.257232347082478, 48.84761253394373]]}";48.8466461942, 2.25651191141
1661;15;NON;PONT;MIRABEAU;VOIE 50;BANDE CYCLABLE SUR CHAUSSEE;SENS CIRCULATION GENERALE;BANDE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.275497468206462, 48.84674768217827], [2.275965660813853, 48.84655169430344], [2.276470266316861, 48.84633951410051], [2.276849449219549, 48.84617832955875]]}";48.8464637829, 2.27617378644
1667;16;OUI;ROUTE DE LA;MUETTE A NEUILLY;VOIE 50;CONTINUITE VELO;;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.264483835319694, 48.87228529657092], [2.26437285873822, 48.872285029380926]]}";48.872285163, 2.26442834703
1668;16;OUI;ROUTE DE LA;MUETTE A NEUILLY;VOIE 50;CONTINUITE VELO;;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.264482004425319, 48.87227394794731], [2.264370928936704, 48.87227326536547]]}";48.8722736067, 2.26442646668
1669;16;OUI;ALLEE DE;LONGCHAMP;VOIE 50;PISTE CYCLABLE BIDIRECTIONNELLE SUR TROTTOIR;CONTRESENS;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.26437285873822, 48.872285029380926], [2.264238466184174, 48.87230286856341], [2.264174476993498, 48.87230731434211], [2.264133947338149, 48.87230569363925], [2.264093737145624, 48.87230036259268], [2.264054185363396, 48.87229136613988], [2.263786227929868, 48.87219431849325], [2.2628295895770822, 48.8718498303239], [2.261807177580722, 48.87148135523839], [2.260878618429862, 48.87114649512918], [2.259756130507018, 48.870742888006546], [2.258648575258017, 48.87034420172695], [2.257733609595797, 48.87001423995552], [2.256728665826082, 48.8696530183383], [2.256137029129294, 48.86943884033215], [2.25507191838946, 48.869058357879965], [2.253815714671889, 48.86860270475673], [2.252688765644529, 48.86819623670901], [2.25168181521676, 48.867833645675766], [2.251287143378387, 48.867690496432296], [2.251243295915661, 48.86767192432551], [2.251200743341638, 48.8676505514085], [2.250953427490076, 48.867505903261524], [2.2509295517165, 48.86748516494993], [2.250907951215721, 48.86746206628119], [2.2508269409135, 48.86733885216142], [2.250775559876003, 48.86734129576335]]}";48.8699332604, 2.25752038052
1684;16;OUI;CARREFOUR DE;LONGCHAMP;VOIE 50;PISTE CYCLABLE BIDIRECTIONNELLE SUR TROTTOIR;CONTRESENS;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.239468861321253, 48.86387537678753], [2.239461060825588, 48.86387791418052], [2.239452958012898, 48.86387919109958], [2.239444755217194, 48.86387917565899], [2.239436657269144, 48.863877868244295], [2.239422292551325, 48.863875159229444], [2.23940850050011, 48.863870315346425], [2.239395596453147, 48.86386344734442], [2.239383875445, 48.86385471225155], [2.239373605461559, 48.863844309784554], [2.239365021312889, 48.863832477782566], [2.239331436049082, 48.863764515878295], [2.239314153952715, 48.86374233699097], [2.239293984041664, 48.863722747489035], [2.239271310143444, 48.863706120154994], [2.239246563735716, 48.86369277140215], [2.239193450572222, 48.86367372324007], [2.239139088536324, 48.86365860339656], [2.239083767744746, 48.86364749256247]]}";48.8637516597, 2.23928668143
1686;16;OUI;ROUTE DES;MOULINS;VOIE 50;PISTE CYCLABLE BIDIRECTIONNELLE SUR TROTTOIR;CONTRESENS;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.234625870963462, 48.86507483879057], [2.234704656516708, 48.865128393401434]]}";48.8651016161, 2.23466526374
1690;16;NON;PONT DE;SURESNES;VOIE 50;PISTE CYCLABLE BIDIRECTIONNELLE SUR TROTTOIR;CONTRESENS;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.230662553048818, 48.866674069078684], [2.229938439410969, 48.86686358721974], [2.229653168421894, 48.86693918857534]]}";48.8668063138, 2.23015777777
1705;16;OUI;ROUTE DE;SEVRES A NEUILLY;VOIE 50;BANDE CYCLABLE BIDIRECTIONNELLE SUR CHAUSSEE;;BANDE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.238178225756416, 48.86219816364786], [2.238100325406036, 48.86224043833581], [2.238011075908533, 48.86224847621022]]}";48.8622319482, 2.23809725864
1724;16;NON;RUE;LAURISTON;ZONE 30;SANS MARQUAGE;CONTRESENS;SANS MARQUAGE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.285409911194811, 48.86529315489485], [2.285511083967319, 48.86556345443012], [2.28551493141132, 48.86557165875758], [2.285519889752456, 48.86557924352308], [2.28552586129285, 48.86558605927834], [2.285532728370804, 48.86559197172749], [2.2855403556791822, 48.86559686437313], [2.285587801724356, 48.865629837956064], [2.286076648511773, 48.86596461653014]]}";48.8656683298, 2.28569327704
